employee_id,age,years_at_company,monthly_salary,performance_score,overtime_hours,training_hours,projects_completed,absenteeism_days,bonus_pct,engagement_score,department,job_level,education,gender,marital_status,attrition_risk,salary_age_ratio,workload_index,loyalty_tier
63,35,7,9494,3,2,36,1,8,5.8,7.5,Treasury,Senior,Masters,Female,Single,0,271.26,1.4,Established
64,52,19,11420,4,1,20,17,2,25.1,1.2,Compliance,Senior,Other,Non-binary,Married,1,219.62,10.6,Veteran
65,36,2,12741,4,8,13,19,2,1.9,9.8,Audit,Senior,Bachelors,Female,Divorced,0,353.92,14.6,New
66,29,15,4954,2,0,59,5,6,9.0,3.0,Investment Banking,Lead,PhD,Female,Married,1,170.83,3.0,Veteran
67,35,29,5567,5,13,22,16,2,0.3,7.0,Risk,Senior,Masters,Male,Married,0,159.06,14.8,Veteran
68,44,12,4227,4,0,28,7,2,20.9,4.9,Compliance,Mid,Bachelors,Female,Divorced,0,96.07,4.2,Veteran
69,61,22,7297,3,1,46,7,0,18.6,1.5,Treasury,Junior,Other,Non-binary,Single,1,119.62,4.6,Veteran
70,42,27,9399,3,3,29,18,1,19.3,5.2,Investment Banking,Junior,PhD,Male,Married,0,223.79,12.0,Veteran
71,37,18,10962,5,5,37,18,1,11.2,5.7,Risk,Mid,PhD,Female,Divorced,0,296.27,12.8,Veteran
72,39,7,7772,3,3,26,2,4,6.2,8.7,Finance,Lead,Bachelors,Male,Married,0,199.28,2.4,Established
73,45,21,7040,3,3,14,15,2,21.6,7.6,Finance,Mid,Masters,Male,Single,0,156.44,10.2,Veteran
74,47,4,8455,2,26,58,14,5,24.3,1.7,Audit,Senior,Bachelors,Male,Married,1,179.89,18.8,Growing
75,46,19,5494,3,8,2,18,3,4.2,2.9,Finance,Lead,PhD,Male,Married,1,119.43,14.0,Veteran
76,50,7,14268,4,0,9,9,3,14.6,3.8,Operations,Mid,PhD,Male,Married,0,285.36,5.4,Established
77,36,23,3177,3,4,78,14,5,7.5,2.0,Compliance,Lead,PhD,Female,Married,0,88.25,10.0,Veteran
78,22,11,8554,3,16,79,5,3,5.0,5.1,Compliance,Junior,Masters,Male,Single,0,388.82,9.4,Veteran
79,46,0,14070,3,2,16,11,3,22.0,9.9,Risk,Mid,PhD,Male,Divorced,0,305.87,7.4,New
80,28,24,8020,3,0,10,8,5,16.1,5.6,Operations,Mid,PhD,Non-binary,Married,0,286.43,4.8,Veteran
81,30,29,7429,5,11,47,5,4,6.5,7.7,Compliance,Junior,Bachelors,Non-binary,Single,0,247.63,7.4,Veteran
82,45,20,6927,3,7,4,11,1,9.3,7.1,Risk,Lead,PhD,Male,Married,0,153.93,9.4,Veteran
83,22,19,7458,5,6,68,5,4,29.0,8.6,Treasury,Junior,Other,Female,Married,0,339.0,5.4,Veteran
84,29,5,12118,3,0,63,17,3,25.5,2.9,Compliance,Lead,Bachelors,Non-binary,Married,0,417.86,10.2,Growing
85,45,21,2500,3,1,13,4,1,26.4,7.8,Audit,Mid,PhD,Non-binary,Single,0,55.56,2.8,Veteran
86,32,17,12600,5,7,49,15,3,13.8,8.9,Compliance,Lead,Bachelors,Male,Married,0,393.75,11.8,Veteran
87,38,7,3728,3,1,25,19,2,18.7,2.5,Treasury,Lead,Bachelors,Female,Married,1,98.11,11.8,Established
88,29,6,7200,4,5,71,2,3,11.3,4.1,Treasury,Senior,Other,Female,Divorced,1,248.28,3.2,Established
89,56,0,6712,5,6,68,17,1,2.3,9.7,Compliance,Senior,Bachelors,Non-binary,Single,0,119.86,12.6,New
90,56,20,9765,2,2,6,12,1,12.0,8.0,Treasury,Senior,Bachelors,Non-binary,Divorced,0,174.38,8.0,Veteran
91,54,15,3205,2,23,15,17,2,17.8,3.5,Risk,Junior,Masters,Non-binary,Divorced,1,59.35,19.4,Veteran
92,26,11,9386,4,14,54,10,4,8.6,6.1,Compliance,Junior,PhD,Non-binary,Divorced,0,361.0,11.6,Veteran
93,60,5,14072,3,10,77,18,2,25.4,4.6,Compliance,Senior,Masters,Non-binary,Divorced,0,234.53,14.8,Growing
94,49,19,3910,3,0,55,19,2,4.5,5.4,Finance,Mid,PhD,Male,Married,0,79.8,11.4,Veteran
95,28,1,8569,1,0,3,18,4,11.0,4.2,Audit,Mid,Bachelors,Male,Divorced,1,306.04,10.8,New
96,30,28,6014,1,5,47,13,2,3.7,3.5,Compliance,Mid,PhD,Male,Single,1,200.47,9.8,Veteran
97,29,13,9277,4,1,16,14,3,12.1,7.1,Investment Banking,Junior,Bachelors,Non-binary,Married,0,319.9,8.8,Veteran
98,33,3,8057,2,30,35,16,4,1.2,8.0,Finance,Lead,PhD,Male,Divorced,1,244.15,21.6,Growing
99,55,0,6075,3,1,69,18,5,8.2,8.9,Treasury,Junior,Bachelors,Non-binary,Divorced,0,110.45,11.2,New
100,54,22,9463,4,5,79,18,3,12.0,2.4,Audit,Senior,PhD,Female,Single,0,175.24,12.8,Veteran
101,44,17,13413,3,3,37,16,2,14.3,8.4,Audit,Lead,PhD,Female,Single,0,304.84,10.8,Veteran
102,45,12,7427,1,8,61,17,5,16.3,3.3,Treasury,Mid,PhD,Male,Divorced,1,165.04,13.4,Veteran
103,58,1,10159,4,1,47,7,4,8.2,4.8,Risk,Junior,Bachelors,Female,Divorced,0,175.16,4.6,New
104,56,8,4120,1,4,9,12,1,15.7,9.1,Finance,Junior,PhD,Female,Divorced,0,73.57,8.8,Established
105,61,20,5130,4,2,35,2,5,15.3,5.1,Compliance,Senior,Bachelors,Female,Divorced,0,84.1,2.0,Veteran
106,43,1,9417,5,17,28,10,2,9.5,2.8,Finance,Mid,Masters,Male,Divorced,1,219.0,12.8,New
107,48,26,12452,3,0,77,5,3,24.9,2.4,Treasury,Junior,PhD,Female,Single,0,259.42,3.0,Veteran
108,56,24,9066,4,19,3,3,2,16.4,5.3,Treasury,Junior,Other,Male,Single,0,161.89,9.4,Veteran
109,22,8,7060,3,14,43,19,10,10.0,7.9,Investment Banking,Lead,Other,Non-binary,Married,0,320.91,17.0,Established
110,56,0,7997,3,2,55,13,4,28.4,10.0,Risk,Junior,Bachelors,Non-binary,Married,0,142.8,8.6,New
111,58,10,4248,5,12,41,12,3,25.4,8.1,Audit,Lead,Other,Male,Single,0,73.24,12.0,Established
112,35,2,9813,5,0,12,3,4,29.5,8.9,Audit,Junior,Bachelors,Male,Married,0,280.37,1.8,New
113,24,19,10646,3,27,45,6,5,20.8,7.7,Treasury,Mid,Bachelors,Female,Divorced,0,443.58,14.4,Veteran
114,22,29,6643,4,5,32,14,3,11.3,9.1,Finance,Senior,Other,Non-binary,Married,0,301.95,10.4,Veteran
115,26,22,6589,5,2,20,4,1,8.4,1.7,Audit,Mid,Other,Female,Divorced,0,253.42,3.2,Veteran
116,47,25,8797,5,3,79,13,2,19.9,9.4,Investment Banking,Senior,Masters,Non-binary,Divorced,0,187.17,9.0,Veteran
117,35,3,6689,4,0,78,19,3,29.4,4.6,Investment Banking,Junior,Bachelors,Female,Married,1,191.11,11.4,Growing
118,60,17,7801,3,34,56,18,2,18.8,9.3,Compliance,Mid,Other,Female,Married,0,130.02,24.4,Veteran
119,48,22,14299,3,0,68,3,4,26.4,1.7,Compliance,Lead,Masters,Non-binary,Divorced,1,297.9,1.8,Veteran
120,30,5,7258,5,8,69,6,5,9.9,7.4,Finance,Senior,Masters,Female,Single,0,241.93,6.8,Growing
121,36,2,6924,2,4,66,16,0,12.2,7.6,Risk,Senior,Bachelors,Non-binary,Married,0,192.33,11.2,New
122,36,21,6057,4,23,47,3,2,27.2,10.0,Compliance,Junior,PhD,Male,Married,0,168.25,11.0,Veteran
123,47,10,10232,3,2,75,12,3,22.7,7.9,Finance,Senior,Other,Female,Single,0,217.7,8.0,Established
124,34,14,7456,3,6,32,19,4,29.4,4.4,Finance,Senior,Other,Non-binary,Married,1,219.29,13.8,Veteran
125,53,21,6051,3,5,35,19,2,23.2,6.0,Treasury,Senior,Other,Non-binary,Divorced,0,114.17,13.4,Veteran
126,60,27,11963,5,9,32,4,0,13.5,4.3,Audit,Junior,Other,Female,Single,0,199.38,6.0,Veteran
127,53,4,12258,2,0,30,1,2,15.9,2.8,Treasury,Mid,Other,Non-binary,Single,1,231.28,0.6,Growing
128,25,19,6198,4,1,20,2,1,27.0,3.2,Audit,Junior,Other,Female,Divorced,1,247.92,1.6,Veteran
129,51,9,2500,2,1,26,13,4,16.5,3.0,Risk,Lead,Masters,Female,Divorced,1,49.02,8.2,Established
130,58,11,11022,3,10,71,13,1,7.7,5.9,Risk,Senior,Bachelors,Male,Divorced,0,190.03,11.8,Veteran
131,44,14,5946,3,1,61,2,2,13.1,9.2,Risk,Senior,Masters,Male,Single,0,135.14,1.6,Veteran
132,60,16,10371,4,6,25,19,1,15.5,9.2,Finance,Mid,Other,Male,Divorced,0,172.85,13.8,Veteran
133,36,9,2500,3,1,65,16,4,2.9,1.5,Finance,Senior,Bachelors,Female,Married,1,69.44,10.0,Established
134,50,5,10677,3,15,11,12,1,22.3,1.7,Treasury,Mid,Other,Female,Married,0,213.54,13.2,Growing
135,57,17,4366,2,22,21,1,2,3.3,3.2,Compliance,Senior,Bachelors,Non-binary,Divorced,1,76.6,9.4,Veteran
136,34,12,10192,3,5,16,9,4,12.1,3.3,Investment Banking,Senior,Masters,Male,Married,0,299.76,7.4,Veteran
137,53,2,8042,5,3,6,17,3,24.1,1.9,Audit,Junior,Bachelors,Male,Married,0,151.74,11.4,New
138,28,29,5138,5,2,67,10,9,14.0,4.5,Audit,Junior,Masters,Non-binary,Single,1,183.5,6.8,Veteran
139,43,23,6778,3,0,36,18,1,25.3,6.3,Risk,Lead,Other,Male,Divorced,0,157.63,10.8,Veteran
140,49,9,10058,4,2,37,19,0,10.3,6.2,Audit,Mid,Bachelors,Male,Married,0,205.27,12.2,Established
141,23,29,8317,5,8,10,7,1,28.7,5.9,Operations,Lead,PhD,Male,Divorced,0,361.61,7.4,Veteran
142,27,13,9753,1,6,0,19,2,6.3,4.0,Risk,Junior,PhD,Non-binary,Divorced,1,361.22,13.8,Veteran
143,49,5,13929,4,23,24,15,1,1.1,7.4,Investment Banking,Mid,Masters,Male,Married,1,284.27,18.2,Growing
144,49,2,3307,5,4,41,9,0,26.2,8.4,Audit,Junior,Masters,Female,Married,0,67.49,7.0,New
145,41,15,12851,2,9,51,10,5,22.6,4.1,Treasury,Mid,Masters,Male,Single,1,313.44,9.6,Veteran
146,51,6,8313,3,5,23,4,5,7.0,1.8,Audit,Senior,Masters,Female,Single,0,163.0,4.4,Established
147,32,19,5303,5,5,52,6,7,29.5,3.7,Finance,Lead,Other,Male,Single,0,165.72,5.6,Veteran
148,49,13,4009,4,2,55,4,2,15.1,2.2,Treasury,Lead,PhD,Female,Married,0,81.82,3.2,Veteran
149,46,8,7432,1,4,62,5,4,28.5,5.2,Treasury,Mid,Masters,Male,Single,0,161.57,4.6,Established
150,60,14,10764,3,5,7,9,6,15.2,2.4,Treasury,Lead,Bachelors,Female,Divorced,0,179.4,7.4,Veteran
151,54,20,7617,3,9,58,12,3,14.2,5.2,Operations,Junior,Bachelors,Female,Single,0,141.06,10.8,Veteran
152,22,2,12533,4,22,44,8,7,13.5,3.0,Operations,Lead,Other,Male,Single,1,569.68,13.6,New
153,48,1,3646,4,3,26,5,3,10.0,7.6,Audit,Mid,Masters,Non-binary,Single,0,75.96,4.2,New
154,34,26,7963,5,0,51,11,4,16.0,1.2,Risk,Lead,Bachelors,Male,Divorced,0,234.21,6.6,Veteran
155,24,1,4242,3,5,17,11,2,13.6,6.0,Audit,Lead,Masters,Non-binary,Divorced,0,176.75,8.6,New
156,60,2,9090,4,6,15,13,3,1.1,2.5,Audit,Junior,Bachelors,Non-binary,Married,1,151.5,10.2,New
157,27,17,10660,4,1,65,14,2,7.8,1.0,Audit,Senior,Other,Non-binary,Single,1,394.81,8.8,Veteran
158,29,13,6737,3,11,4,8,2,6.4,8.8,Investment Banking,Junior,Bachelors,Non-binary,Divorced,0,232.31,9.2,Veteran
159,48,19,2500,3,33,2,18,5,26.0,7.0,Finance,Lead,Masters,Non-binary,Divorced,0,52.08,24.0,Veteran
160,30,17,8596,5,23,79,19,2,18.0,1.9,Treasury,Lead,Masters,Non-binary,Divorced,1,286.53,20.6,Veteran
161,58,9,9310,5,1,69,12,3,22.9,7.0,Compliance,Senior,Other,Male,Married,0,160.52,7.6,Established
162,54,24,9212,3,16,6,12,4,28.7,6.5,Investment Banking,Senior,PhD,Female,Married,0,170.59,13.6,Veteran
163,45,1,11707,4,9,49,18,1,19.3,5.3,Risk,Junior,Masters,Female,Married,0,260.16,14.4,New
164,36,24,4786,3,4,13,10,1,29.5,4.8,Risk,Senior,PhD,Male,Single,0,132.94,7.6,Veteran
165,53,28,10040,4,6,37,7,3,9.4,9.0,Treasury,Junior,Masters,Male,Divorced,0,189.43,6.6,Veteran
166,53,21,11577,4,15,78,18,3,5.6,3.2,Risk,Mid,Other,Male,Married,1,218.43,16.8,Veteran
167,45,0,2664,4,5,46,12,3,12.1,4.6,Treasury,Lead,Bachelors,Non-binary,Married,1,59.2,9.2,New
168,33,3,8958,5,3,32,14,3,14.1,4.0,Risk,Senior,PhD,Non-binary,Divorced,0,271.45,9.6,Growing
169,60,13,6487,4,5,42,15,1,26.9,7.9,Audit,Mid,Bachelors,Female,Divorced,0,108.12,11.0,Veteran
170,23,0,7755,3,6,28,16,3,16.8,9.2,Finance,Mid,Other,Male,Single,0,337.17,12.0,New
171,24,13,9043,4,1,56,2,3,8.8,8.6,Investment Banking,Junior,Other,Female,Single,0,376.79,1.6,Veteran
172,58,15,6538,3,18,4,18,0,22.3,8.2,Investment Banking,Junior,Other,Female,Single,0,112.72,18.0,Veteran
173,38,21,5972,3,8,59,12,2,15.2,9.9,Risk,Senior,Masters,Non-binary,Married,0,157.16,10.4,Veteran
174,23,13,8102,3,8,69,16,1,4.9,7.3,Investment Banking,Junior,Masters,Non-binary,Married,0,352.26,12.8,Veteran
175,23,28,4738,3,0,1,13,3,17.3,7.8,Risk,Mid,Masters,Female,Divorced,0,206.0,7.8,Veteran
176,49,19,4742,4,7,69,17,2,27.3,9.8,Compliance,Mid,Masters,Non-binary,Single,0,96.78,13.0,Veteran
177,44,2,10038,3,1,42,18,1,25.3,1.1,Investment Banking,Lead,PhD,Non-binary,Divorced,0,228.14,11.2,New
178,58,2,4553,4,0,3,3,3,17.6,6.7,Finance,Mid,Other,Non-binary,Single,0,78.5,1.8,New
179,53,8,9998,4,5,55,10,3,11.3,7.7,Investment Banking,Senior,PhD,Female,Single,0,188.64,8.0,Established
180,54,5,9387,3,4,58,1,4,2.6,9.3,Audit,Lead,Masters,Female,Single,0,173.83,2.2,Growing
181,22,24,2822,4,7,8,6,1,14.1,9.0,Finance,Junior,Bachelors,Female,Single,0,128.27,6.4,Veteran
182,40,12,5967,3,0,2,3,1,22.6,8.6,Investment Banking,Lead,PhD,Male,Divorced,0,149.18,1.8,Veteran
183,23,20,11582,3,4,47,19,7,10.8,9.5,Finance,Mid,Bachelors,Female,Divorced,0,503.57,13.0,Veteran
184,47,1,5056,4,1,42,4,1,7.1,5.8,Investment Banking,Senior,Masters,Non-binary,Married,0,107.57,2.8,New
185,53,7,6606,3,34,0,3,5,27.9,1.1,Risk,Junior,PhD,Female,Single,1,124.64,15.4,Established
186,27,20,9386,1,6,56,8,0,24.6,1.1,Operations,Junior,PhD,Male,Divorced,1,347.63,7.2,Veteran
187,53,1,10350,4,9,52,8,7,19.1,5.9,Risk,Mid,PhD,Non-binary,Single,0,195.28,8.4,New
188,25,3,7245,4,3,15,7,3,4.1,4.9,Treasury,Senior,Bachelors,Female,Single,1,289.8,5.4,Growing
189,32,24,6207,3,0,50,2,1,4.3,5.1,Investment Banking,Mid,Masters,Female,Married,0,193.97,1.2,Veteran
190,38,14,12267,5,29,74,6,4,3.1,4.6,Compliance,Mid,Other,Non-binary,Married,1,322.82,15.2,Veteran
191,59,3,13216,4,2,54,16,5,18.5,9.3,Finance,Senior,Other,Female,Divorced,0,224.0,10.4,Growing
192,45,12,10936,5,4,0,10,2,3.5,4.2,Treasury,Mid,Masters,Male,Divorced,1,243.02,7.6,Veteran
193,26,27,8255,2,8,27,4,1,25.3,8.7,Audit,Senior,PhD,Non-binary,Married,0,317.5,5.6,Veteran
194,55,11,5575,4,0,52,13,2,29.8,9.1,Treasury,Senior,Other,Female,Divorced,0,101.36,7.8,Veteran
195,27,27,5508,5,13,57,10,6,11.0,5.5,Operations,Mid,PhD,Non-binary,Divorced,0,204.0,11.2,Veteran
196,43,12,9567,4,6,72,14,1,13.6,5.0,Investment Banking,Mid,Masters,Female,Married,0,222.49,10.8,Veteran
197,32,13,9255,4,2,59,9,4,21.4,7.8,Finance,Lead,Bachelors,Female,Single,0,289.22,6.2,Veteran
198,37,19,12204,3,0,58,11,4,28.1,7.4,Risk,Junior,PhD,Non-binary,Single,0,329.84,6.6,Veteran
199,54,17,9951,2,1,21,18,2,26.8,4.0,Finance,Junior,Bachelors,Female,Married,1,184.28,11.2,Veteran
200,30,28,3490,3,18,7,11,1,1.7,1.9,Compliance,Senior,Bachelors,Female,Single,1,116.33,13.8,Veteran
201,27,27,11155,3,9,48,17,0,5.1,3.4,Finance,Lead,Masters,Non-binary,Single,0,413.15,13.8,Veteran
202,37,5,5005,5,2,41,2,2,22.6,2.2,Treasury,Senior,Masters,Female,Married,0,135.27,2.0,Growing
203,50,28,6848,3,0,26,3,4,20.7,3.7,Treasury,Lead,Bachelors,Female,Divorced,0,136.96,1.8,Veteran
204,24,10,8750,5,9,38,11,4,4.0,3.4,Risk,Senior,Bachelors,Non-binary,Married,1,364.58,10.2,Established
205,41,29,13987,5,6,24,18,3,15.1,6.7,Risk,Junior,Other,Male,Married,0,341.15,13.2,Veteran
206,57,1,17329,3,4,37,3,5,23.4,9.6,Risk,Lead,Other,Male,Single,0,304.02,3.4,New
207,40,27,9820,3,3,23,15,5,6.6,7.2,Audit,Mid,Masters,Male,Married,0,245.5,10.2,Veteran
208,47,22,7450,5,1,23,11,2,26.1,9.3,Investment Banking,Mid,PhD,Male,Single,0,158.51,7.0,Veteran
209,24,18,9603,5,8,59,11,2,1.6,8.1,Compliance,Junior,Bachelors,Male,Married,0,400.12,9.8,Veteran
210,40,18,10662,3,28,49,11,4,23.5,7.6,Audit,Lead,PhD,Male,Divorced,0,266.55,17.8,Veteran
211,41,4,7037,3,1,65,19,1,18.5,4.7,Audit,Mid,Bachelors,Non-binary,Single,0,171.63,11.8,Growing
212,53,18,13385,4,7,13,1,4,9.5,3.9,Audit,Mid,Masters,Non-binary,Married,1,252.55,3.4,Veteran
213,28,1,8690,4,4,52,5,5,21.6,8.6,Finance,Mid,PhD,Non-binary,Single,0,310.36,4.6,New
214,54,9,9493,3,4,31,10,3,23.5,9.1,Operations,Junior,Masters,Female,Married,0,175.8,7.6,Established
215,61,24,9997,4,2,47,10,3,28.0,5.1,Investment Banking,Senior,Bachelors,Male,Married,0,163.89,6.8,Veteran
216,60,1,9264,2,13,38,14,4,11.0,1.1,Finance,Mid,Masters,Male,Married,1,154.4,13.6,New
217,39,29,10516,1,5,39,2,1,20.6,8.1,Risk,Mid,PhD,Non-binary,Single,0,269.64,3.2,Veteran
218,61,10,6148,3,6,41,4,3,18.1,3.6,Compliance,Senior,Other,Female,Single,0,100.79,4.8,Established
219,22,17,6325,3,2,76,2,4,15.8,1.1,Audit,Mid,Masters,Female,Divorced,0,287.5,2.0,Veteran
220,32,28,4699,3,1,75,18,3,26.7,8.2,Finance,Lead,PhD,Non-binary,Divorced,0,146.84,11.2,Veteran
221,49,23,9318,3,0,7,13,1,0.1,5.7,Investment Banking,Mid,Masters,Male,Divorced,0,190.16,7.8,Veteran
222,46,14,10336,3,10,78,19,4,8.5,7.2,Treasury,Senior,Masters,Female,Divorced,0,224.7,15.4,Veteran
