employee_id,age,years_at_company,monthly_salary,performance_score,overtime_hours,training_hours,projects_completed,absenteeism_days,bonus_pct,engagement_score,department,job_level,education,gender,marital_status,attrition_risk
53,25,9,8062,3,15,26,14,4,4.0,4.2,Finance,Mid,PhD,Non-binary,Divorced,0
54,23,29,8692,5,19,20,9,6,11.7,4.6,Risk,Lead,PhD,Male,Divorced,0
55,27,29,4219,4,2,12,15,3,29.1,7.7,Operations,Mid,Other,Non-binary,Divorced,0
56,25,24,6150,2,18,34,7,4,10.5,2.2,Finance,Junior,Bachelors,Male,Divorced,1
57,50,22,6874,5,3,46,14,4,26.0,3.8,Compliance,Senior,Masters,Male,Single,1
58,39,15,7046,3,6,27,6,1,2.8,2.1,Risk,Mid,PhD,Female,Divorced,1
59,47,11,11844,2,0,20,15,2,10.0,5.1,Compliance,Senior,Other,Male,Single,0
60,55,16,9673,4,0,17,8,1,10.5,6.0,Compliance,Mid,Bachelors,Female,Married,0
61,31,15,4665,3,10,30,2,2,1.5,2.9,Risk,Junior,PhD,Male,Single,1
62,57,11,8739,5,4,59,8,1,3.6,1.2,Audit,Mid,Other,Female,Divorced,0
63,35,7,9494,3,2,36,1,8,5.8,7.5,Treasury,Senior,Masters,Female,Single,0
64,52,19,11420,4,1,20,17,2,25.1,1.2,Compliance,Senior,Other,Non-binary,Married,1
65,36,2,12741,4,8,13,19,2,1.9,9.8,Audit,Senior,Bachelors,Female,Divorced,0
66,29,15,4954,2,0,59,5,6,9.0,3.0,Investment Banking,Lead,PhD,Female,Married,1
67,35,29,5567,5,13,22,16,2,0.3,7.0,Risk,Senior,Masters,Male,Married,0
68,44,12,4227,4,0,28,7,2,20.9,4.9,Compliance,Mid,Bachelors,Female,Divorced,0
69,61,22,7297,3,1,46,7,0,18.6,1.5,Treasury,Junior,Other,Non-binary,Single,1
70,42,27,9399,3,3,29,18,1,19.3,5.2,Investment Banking,Junior,PhD,Male,Married,0
71,37,18,10962,5,5,37,18,1,11.2,5.7,Risk,Mid,PhD,Female,Divorced,0
72,39,7,7772,3,3,26,2,4,6.2,8.7,Finance,Lead,Bachelors,Male,Married,0
73,45,21,7040,3,3,14,15,2,21.6,7.6,Finance,Mid,Masters,Male,Single,0
74,47,4,8455,2,26,58,14,5,24.3,1.7,Audit,Senior,Bachelors,Male,Married,1
75,46,19,5494,3,8,2,18,3,4.2,2.9,Finance,Lead,PhD,Male,Married,1
76,50,7,14268,4,0,9,9,3,14.6,3.8,Operations,Mid,PhD,Male,Married,0
77,36,23,3177,3,4,78,14,5,7.5,2.0,Compliance,Lead,PhD,Female,Married,0
78,22,11,8554,3,16,79,5,3,5.0,5.1,Compliance,Junior,Masters,Male,Single,0
79,46,0,14070,3,2,16,11,3,22.0,9.9,Risk,Mid,PhD,Male,Divorced,0
80,28,24,8020,3,0,10,8,5,16.1,5.6,Operations,Mid,PhD,Non-binary,Married,0
81,30,29,7429,5,11,47,5,4,6.5,7.7,Compliance,Junior,Bachelors,Non-binary,Single,0
82,45,20,6927,3,7,4,11,1,9.3,7.1,Risk,Lead,PhD,Male,Married,0
83,22,19,7458,5,6,68,5,4,29.0,8.6,Treasury,Junior,Other,Female,Married,0
84,29,5,12118,3,0,63,17,3,25.5,2.9,Compliance,Lead,Bachelors,Non-binary,Married,0
85,45,21,2500,3,1,13,4,1,26.4,7.8,Audit,Mid,PhD,Non-binary,Single,0
86,32,17,12600,5,7,49,15,3,13.8,8.9,Compliance,Lead,Bachelors,Male,Married,0
87,38,7,3728,3,1,25,19,2,18.7,2.5,Treasury,Lead,Bachelors,Female,Married,1
88,29,6,7200,4,5,71,2,3,11.3,4.1,Treasury,Senior,Other,Female,Divorced,1
89,56,0,6712,5,6,68,17,1,2.3,9.7,Compliance,Senior,Bachelors,Non-binary,Single,0
90,56,20,9765,2,2,6,12,1,12.0,8.0,Treasury,Senior,Bachelors,Non-binary,Divorced,0
91,54,15,3205,2,23,15,17,2,17.8,3.5,Risk,Junior,Masters,Non-binary,Divorced,1
92,26,11,9386,4,14,54,10,4,8.6,6.1,Compliance,Junior,PhD,Non-binary,Divorced,0
93,60,5,14072,3,10,77,18,2,25.4,4.6,Compliance,Senior,Masters,Non-binary,Divorced,0
94,49,19,3910,3,0,55,19,2,4.5,5.4,Finance,Mid,PhD,Male,Married,0
95,28,1,8569,1,0,3,18,4,11.0,4.2,Audit,Mid,Bachelors,Male,Divorced,1
96,30,28,6014,1,5,47,13,2,3.7,3.5,Compliance,Mid,PhD,Male,Single,1
97,29,13,9277,4,1,16,14,3,12.1,7.1,Investment Banking,Junior,Bachelors,Non-binary,Married,0
98,33,3,8057,2,30,35,16,4,1.2,8.0,Finance,Lead,PhD,Male,Divorced,1
99,55,0,6075,3,1,69,18,5,8.2,8.9,Treasury,Junior,Bachelors,Non-binary,Divorced,0
100,54,22,9463,4,5,79,18,3,12.0,2.4,Audit,Senior,PhD,Female,Single,0
101,44,17,13413,3,3,37,16,2,14.3,8.4,Audit,Lead,PhD,Female,Single,0
102,45,12,7427,1,8,61,17,5,16.3,3.3,Treasury,Mid,PhD,Male,Divorced,1
103,58,1,10159,4,1,47,7,4,8.2,4.8,Risk,Junior,Bachelors,Female,Divorced,0
104,56,8,4120,1,4,9,12,1,15.7,9.1,Finance,Junior,PhD,Female,Divorced,0
105,61,20,5130,4,2,35,2,5,15.3,5.1,Compliance,Senior,Bachelors,Female,Divorced,0
106,43,1,9417,5,17,28,10,2,9.5,2.8,Finance,Mid,Masters,Male,Divorced,1
107,48,26,12452,3,0,77,5,3,24.9,2.4,Treasury,Junior,PhD,Female,Single,0
108,56,24,9066,4,19,3,3,2,16.4,5.3,Treasury,Junior,Other,Male,Single,0
109,22,8,7060,3,14,43,19,10,10.0,7.9,Investment Banking,Lead,Other,Non-binary,Married,0
110,56,0,7997,3,2,55,13,4,28.4,10.0,Risk,Junior,Bachelors,Non-binary,Married,0
111,58,10,4248,5,12,41,12,3,25.4,8.1,Audit,Lead,Other,Male,Single,0
112,35,2,9813,5,0,12,3,4,29.5,8.9,Audit,Junior,Bachelors,Male,Married,0
113,24,19,10646,3,27,45,6,5,20.8,7.7,Treasury,Mid,Bachelors,Female,Divorced,0
114,22,29,6643,4,5,32,14,3,11.3,9.1,Finance,Senior,Other,Non-binary,Married,0
115,26,22,6589,5,2,20,4,1,8.4,1.7,Audit,Mid,Other,Female,Divorced,0
116,47,25,8797,5,3,79,13,2,19.9,9.4,Investment Banking,Senior,Masters,Non-binary,Divorced,0
117,35,3,6689,4,0,78,19,3,29.4,4.6,Investment Banking,Junior,Bachelors,Female,Married,1
118,60,17,7801,3,36,56,18,2,18.8,9.3,Compliance,Mid,Other,Female,Married,0
119,48,22,14299,3,0,68,3,4,26.4,1.7,Compliance,Lead,Masters,Non-binary,Divorced,1
120,30,5,7258,5,8,69,6,5,9.9,7.4,Finance,Senior,Masters,Female,Single,0
121,36,2,6924,2,4,66,16,0,12.2,7.6,Risk,Senior,Bachelors,Non-binary,Married,0
122,36,21,6057,4,23,47,3,2,27.2,10.0,Compliance,Junior,PhD,Male,Married,0
123,47,10,10232,3,2,75,12,3,22.7,7.9,Finance,Senior,Other,Female,Single,0
124,34,14,7456,3,6,32,19,4,29.4,4.4,Finance,Senior,Other,Non-binary,Married,1
125,53,21,6051,3,5,35,19,2,23.2,6.0,Treasury,Senior,Other,Non-binary,Divorced,0
126,60,27,11963,5,9,32,4,0,13.5,4.3,Audit,Junior,Other,Female,Single,0
127,53,4,12258,2,0,30,1,2,15.9,2.8,Treasury,Mid,Other,Non-binary,Single,1
128,25,19,6198,4,1,20,2,1,27.0,3.2,Audit,Junior,Other,Female,Divorced,1
129,51,9,2500,2,1,26,13,4,16.5,3.0,Risk,Lead,Masters,Female,Divorced,1
130,58,11,11022,3,10,71,13,1,7.7,5.9,Risk,Senior,Bachelors,Male,Divorced,0
131,44,14,5946,3,1,61,2,2,13.1,9.2,Risk,Senior,Masters,Male,Single,0
132,60,16,10371,4,6,25,19,1,15.5,9.2,Finance,Mid,Other,Male,Divorced,0
133,36,9,2500,3,1,65,16,4,2.9,1.5,Finance,Senior,Bachelors,Female,Married,1
134,50,5,10677,3,15,11,12,1,22.3,1.7,Treasury,Mid,Other,Female,Married,0
135,57,17,4366,2,22,21,1,2,3.3,3.2,Compliance,Senior,Bachelors,Non-binary,Divorced,1
136,34,12,10192,3,5,16,9,4,12.1,3.3,Investment Banking,Senior,Masters,Male,Married,0
137,53,2,8042,5,3,6,17,3,24.1,1.9,Audit,Junior,Bachelors,Male,Married,0
138,28,29,5138,5,2,67,10,9,14.0,4.5,Audit,Junior,Masters,Non-binary,Single,1
139,43,23,6778,3,0,36,18,1,25.3,6.3,Risk,Lead,Other,Male,Divorced,0
140,49,9,10058,4,2,37,19,0,10.3,6.2,Audit,Mid,Bachelors,Male,Married,0
141,23,29,8317,5,8,10,7,1,28.7,5.9,Operations,Lead,PhD,Male,Divorced,0
142,27,13,9753,1,6,0,19,2,6.3,4.0,Risk,Junior,PhD,Non-binary,Divorced,1
143,49,5,13929,4,23,24,15,1,1.1,7.4,Investment Banking,Mid,Masters,Male,Married,1
144,49,2,3307,5,4,41,9,0,26.2,8.4,Audit,Junior,Masters,Female,Married,0
145,41,15,12851,2,9,51,10,5,22.6,4.1,Treasury,Mid,Masters,Male,Single,1
146,51,6,8313,3,5,23,4,5,7.0,1.8,Audit,Senior,Masters,Female,Single,0
147,32,19,5303,5,5,52,6,7,29.5,3.7,Finance,Lead,Other,Male,Single,0
148,49,13,4009,4,2,55,4,2,15.1,2.2,Treasury,Lead,PhD,Female,Married,0
149,46,8,7432,1,4,62,5,4,28.5,5.2,Treasury,Mid,Masters,Male,Single,0
150,60,14,10764,3,5,7,9,6,15.2,2.4,Treasury,Lead,Bachelors,Female,Divorced,0
151,54,20,7617,3,9,58,12,3,14.2,5.2,Operations,Junior,Bachelors,Female,Single,0
152,22,2,12533,4,22,44,8,7,13.5,3.0,Operations,Lead,Other,Male,Single,1
153,48,1,3646,4,3,26,5,3,10.0,7.6,Audit,Mid,Masters,Non-binary,Single,0
154,34,26,7963,5,0,51,11,4,16.0,1.2,Risk,Lead,Bachelors,Male,Divorced,0
155,24,1,4242,3,5,17,11,2,13.6,6.0,Audit,Lead,Masters,Non-binary,Divorced,0
156,60,2,9090,4,6,15,13,3,1.1,2.5,Audit,Junior,Bachelors,Non-binary,Married,1
157,27,17,10660,4,1,65,14,2,7.8,1.0,Audit,Senior,Other,Non-binary,Single,1
158,29,13,6737,3,11,4,8,2,6.4,8.8,Investment Banking,Junior,Bachelors,Non-binary,Divorced,0
159,48,19,2500,3,33,2,18,5,26.0,7.0,Finance,Lead,Masters,Non-binary,Divorced,0
160,30,17,8596,5,23,79,19,2,18.0,1.9,Treasury,Lead,Masters,Non-binary,Divorced,1
161,58,9,9310,5,1,69,12,3,22.9,7.0,Compliance,Senior,Other,Male,Married,0
162,54,24,9212,3,16,6,12,4,28.7,6.5,Investment Banking,Senior,PhD,Female,Married,0
163,45,1,11707,4,9,49,18,1,19.3,5.3,Risk,Junior,Masters,Female,Married,0
164,36,24,4786,3,4,13,10,1,29.5,4.8,Risk,Senior,PhD,Male,Single,0
165,53,28,10040,4,6,37,7,3,9.4,9.0,Treasury,Junior,Masters,Male,Divorced,0
166,53,21,11577,4,15,78,18,3,5.6,3.2,Risk,Mid,Other,Male,Married,1
167,45,0,2664,4,5,46,12,3,12.1,4.6,Treasury,Lead,Bachelors,Non-binary,Married,1
168,33,3,8958,5,3,32,14,3,14.1,4.0,Risk,Senior,PhD,Non-binary,Divorced,0
169,60,13,6487,4,5,42,15,1,26.9,7.9,Audit,Mid,Bachelors,Female,Divorced,0
170,23,0,7755,3,6,28,16,3,16.8,9.2,Finance,Mid,Other,Male,Single,0
171,24,13,9043,4,1,56,2,3,8.8,8.6,Investment Banking,Junior,Other,Female,Single,0
172,58,15,6538,3,18,4,18,0,22.3,8.2,Investment Banking,Junior,Other,Female,Single,0
173,38,21,5972,3,8,59,12,2,15.2,9.9,Risk,Senior,Masters,Non-binary,Married,0
174,23,13,8102,3,8,69,16,1,4.9,7.3,Investment Banking,Junior,Masters,Non-binary,Married,0
175,23,28,4738,3,0,1,13,3,17.3,7.8,Risk,Mid,Masters,Female,Divorced,0
176,49,19,4742,4,7,69,17,2,27.3,9.8,Compliance,Mid,Masters,Non-binary,Single,0
177,44,2,10038,3,1,42,18,1,25.3,1.1,Investment Banking,Lead,PhD,Non-binary,Divorced,0
178,58,2,4553,4,0,3,3,3,17.6,6.7,Finance,Mid,Other,Non-binary,Single,0
179,53,8,9998,4,5,55,10,3,11.3,7.7,Investment Banking,Senior,PhD,Female,Single,0
180,54,5,9387,3,4,58,1,4,2.6,9.3,Audit,Lead,Masters,Female,Single,0
181,22,24,2822,4,7,8,6,1,14.1,9.0,Finance,Junior,Bachelors,Female,Single,0
182,40,12,5967,3,0,2,3,1,22.6,8.6,Investment Banking,Lead,PhD,Male,Divorced,0
183,23,20,11582,3,4,47,19,7,10.8,9.5,Finance,Mid,Bachelors,Female,Divorced,0
184,47,1,5056,4,1,42,4,1,7.1,5.8,Investment Banking,Senior,Masters,Non-binary,Married,0
185,53,7,6606,3,34,0,3,5,27.9,1.1,Risk,Junior,PhD,Female,Single,1
186,27,20,9386,1,6,56,8,0,24.6,1.1,Operations,Junior,PhD,Male,Divorced,1
187,53,1,10350,4,9,52,8,7,19.1,5.9,Risk,Mid,PhD,Non-binary,Single,0
188,25,3,7245,4,3,15,7,3,4.1,4.9,Treasury,Senior,Bachelors,Female,Single,1
189,32,24,6207,3,0,50,2,1,4.3,5.1,Investment Banking,Mid,Masters,Female,Married,0
190,38,14,12267,5,29,74,6,4,3.1,4.6,Compliance,Mid,Other,Non-binary,Married,1
191,59,3,13216,4,2,54,16,5,18.5,9.3,Finance,Senior,Other,Female,Divorced,0
192,45,12,10936,5,4,0,10,2,3.5,4.2,Treasury,Mid,Masters,Male,Divorced,1
193,26,27,8255,2,8,27,4,1,25.3,8.7,Audit,Senior,PhD,Non-binary,Married,0
194,55,11,5575,4,0,52,13,2,29.8,9.1,Treasury,Senior,Other,Female,Divorced,0
195,27,27,5508,5,13,57,10,6,11.0,5.5,Operations,Mid,PhD,Non-binary,Divorced,0
196,43,12,9567,4,6,72,14,1,13.6,5.0,Investment Banking,Mid,Masters,Female,Married,0
197,32,13,9255,4,2,59,9,4,21.4,7.8,Finance,Lead,Bachelors,Female,Single,0
198,37,19,12204,3,0,58,11,4,28.1,7.4,Risk,Junior,PhD,Non-binary,Single,0
199,54,17,9951,2,1,21,18,2,26.8,4.0,Finance,Junior,Bachelors,Female,Married,1
200,30,28,3490,3,18,7,11,1,1.7,1.9,Compliance,Senior,Bachelors,Female,Single,1
201,27,27,11155,3,9,48,17,0,5.1,3.4,Finance,Lead,Masters,Non-binary,Single,0
202,37,5,5005,5,2,41,2,2,22.6,2.2,Treasury,Senior,Masters,Female,Married,0
203,50,28,6848,3,0,26,3,4,20.7,3.7,Treasury,Lead,Bachelors,Female,Divorced,0
204,24,10,8750,5,9,38,11,4,4.0,3.4,Risk,Senior,Bachelors,Non-binary,Married,1
205,41,29,13987,5,6,24,18,3,15.1,6.7,Risk,Junior,Other,Male,Married,0
206,57,1,17329,3,4,37,3,5,23.4,9.6,Risk,Lead,Other,Male,Single,0
207,40,27,9820,3,3,23,15,5,6.6,7.2,Audit,Mid,Masters,Male,Married,0
208,47,22,7450,5,1,23,11,2,26.1,9.3,Investment Banking,Mid,PhD,Male,Single,0
209,24,18,9603,5,8,59,11,2,1.6,8.1,Compliance,Junior,Bachelors,Male,Married,0
210,40,18,10662,3,28,49,11,4,23.5,7.6,Audit,Lead,PhD,Male,Divorced,0
211,41,4,7037,3,1,65,19,1,18.5,4.7,Audit,Mid,Bachelors,Non-binary,Single,0
212,53,18,13385,4,7,13,1,4,9.5,3.9,Audit,Mid,Masters,Non-binary,Married,1
213,28,1,8690,4,4,52,5,5,21.6,8.6,Finance,Mid,PhD,Non-binary,Single,0
214,54,9,9493,3,4,31,10,3,23.5,9.1,Operations,Junior,Masters,Female,Married,0
215,61,24,9997,4,2,47,10,3,28.0,5.1,Investment Banking,Senior,Bachelors,Male,Married,0
216,60,1,9264,2,13,38,14,4,11.0,1.1,Finance,Mid,Masters,Male,Married,1
217,39,29,10516,1,5,39,2,1,20.6,8.1,Risk,Mid,PhD,Non-binary,Single,0
218,61,10,6148,3,6,41,4,3,18.1,3.6,Compliance,Senior,Other,Female,Single,0
219,22,17,6325,3,2,76,2,4,15.8,1.1,Audit,Mid,Masters,Female,Divorced,0
220,32,28,4699,3,1,75,18,3,26.7,8.2,Finance,Lead,PhD,Non-binary,Divorced,0
221,49,23,9318,3,0,7,13,1,0.1,5.7,Investment Banking,Mid,Masters,Male,Divorced,0
222,46,14,10336,3,10,78,19,4,8.5,7.2,Treasury,Senior,Masters,Female,Divorced,0
223,44,8,9373,3,1,25,5,2,16.1,9.2,Investment Banking,Junior,Other,Male,Married,0
224,52,22,13023,3,9,11,2,4,5.3,5.9,Audit,Junior,PhD,Female,Single,0
225,51,18,7983,5,3,42,11,1,27.2,5.5,Investment Banking,Lead,PhD,Male,Married,0
226,56,8,10006,3,4,50,18,4,19.4,3.6,Finance,Mid,PhD,Female,Single,0
227,28,2,4724,3,5,62,6,2,14.3,3.7,Treasury,Mid,Bachelors,Male,Single,0
228,37,20,6838,4,3,48,10,4,24.4,8.2,Finance,Senior,Masters,Male,Married,0
229,47,8,10086,5,0,26,17,2,13.5,5.0,Finance,Senior,Other,Male,Married,0
230,23,27,10547,3,2,8,11,7,16.8,2.5,Audit,Lead,PhD,Non-binary,Single,0
231,22,29,7118,4,8,38,19,3,0.1,1.9,Finance,Lead,Other,Male,Divorced,1
232,33,13,7785,4,8,64,17,2,11.0,5.3,Risk,Mid,Bachelors,Male,Divorced,0
233,26,18,3446,4,2,70,4,2,4.2,5.2,Investment Banking,Mid,Bachelors,Female,Single,0
234,58,6,6928,2,4,70,14,3,20.7,6.9,Treasury,Lead,Other,Female,Married,0
235,53,15,10671,4,1,6,4,2,14.4,5.2,Compliance,Junior,PhD,Non-binary,Married,0
236,30,15,9725,2,1,71,14,0,9.1,2.3,Operations,Junior,Other,Female,Single,1
237,56,27,9501,4,0,79,4,0,14.0,5.6,Investment Banking,Junior,PhD,Male,Married,0
238,40,0,8149,4,18,66,6,4,6.3,9.2,Audit,Junior,PhD,Non-binary,Single,0
239,37,3,8021,3,1,9,9,3,27.8,2.4,Treasury,Lead,Bachelors,Non-binary,Single,1
240,24,3,6019,4,2,70,12,2,1.6,7.2,Risk,Senior,Other,Non-binary,Single,0
241,41,6,10096,1,2,52,8,0,26.0,6.3,Treasury,Junior,Bachelors,Male,Married,0
242,45,7,9262,4,1,56,4,3,15.3,7.7,Compliance,Lead,Masters,Male,Divorced,0
243,54,16,9476,3,8,26,5,9,18.6,2.4,Audit,Junior,Bachelors,Female,Single,1
244,45,4,6421,3,0,53,6,3,9.1,9.5,Treasury,Mid,PhD,Female,Married,0
245,32,6,2500,2,1,3,5,5,29.0,6.6,Investment Banking,Junior,Other,Female,Divorced,0
246,29,27,11291,5,8,22,19,7,8.5,8.6,Risk,Lead,Masters,Non-binary,Single,0
247,57,19,6563,2,3,47,8,4,17.7,3.2,Audit,Mid,Masters,Male,Divorced,1
248,59,28,5411,3,9,41,9,4,29.8,7.7,Risk,Mid,Masters,Female,Married,0
249,61,19,10080,3,6,2,15,1,26.4,8.0,Audit,Junior,Masters,Male,Divorced,0
250,41,3,6823,4,2,2,4,2,16.1,4.6,Operations,Junior,Other,Non-binary,Divorced,0
251,56,27,11179,4,8,27,9,3,29.7,4.5,Compliance,Mid,PhD,Male,Married,1
252,46,5,9851,2,0,62,7,4,21.0,6.9,Operations,Senior,Masters,Male,Single,0
253,56,6,10050,3,6,30,8,2,6.3,1.8,Investment Banking,Lead,PhD,Non-binary,Married,0
254,46,17,3902,3,4,9,15,2,12.2,7.6,Investment Banking,Lead,Bachelors,Female,Married,0
255,50,4,11635,3,2,48,19,0,10.0,1.4,Investment Banking,Lead,PhD,Male,Single,1
256,39,19,8783,3,7,20,15,2,10.3,2.7,Finance,Lead,Masters,Male,Single,0
257,39,29,6892,4,16,52,5,2,22.8,7.0,Investment Banking,Lead,Bachelors,Non-binary,Married,0
258,23,28,8430,3,54,75,19,2,17.5,1.9,Risk,Mid,Bachelors,Male,Single,1
259,56,2,2671,3,7,53,7,4,1.1,9.7,Operations,Lead,Bachelors,Male,Single,0
260,37,6,9225,3,4,56,6,2,26.3,8.8,Risk,Senior,Masters,Male,Married,0
261,57,26,4911,5,2,19,19,4,8.9,6.6,Audit,Senior,PhD,Non-binary,Married,0
262,54,27,3941,5,2,48,17,3,29.9,8.4,Risk,Junior,Other,Male,Married,0
263,25,21,3432,4,5,6,10,1,28.6,9.0,Finance,Junior,PhD,Non-binary,Married,0
264,54,13,11338,3,3,28,19,3,28.2,3.3,Risk,Junior,Masters,Female,Divorced,0
265,35,6,6112,2,19,47,11,6,24.3,8.6,Audit,Junior,Masters,Male,Divorced,0
266,42,4,12601,3,3,12,15,4,6.6,2.8,Audit,Mid,Bachelors,Non-binary,Single,1
267,41,28,6392,3,3,2,10,2,16.0,4.7,Operations,Senior,PhD,Non-binary,Divorced,0
268,29,21,2877,4,3,1,11,6,6.7,6.0,Investment Banking,Mid,Masters,Male,Divorced,0
269,28,4,4650,4,14,15,3,3,7.8,7.4,Compliance,Senior,Masters,Non-binary,Divorced,0
270,24,29,11707,5,8,5,3,2,18.3,1.3,Treasury,Mid,Other,Female,Single,0
271,38,22,7532,4,7,44,18,5,1.2,3.6,Operations,Senior,PhD,Female,Divorced,1
272,54,1,6355,3,3,70,11,4,29.1,6.5,Finance,Junior,Bachelors,Female,Married,0
273,33,29,8480,4,13,4,18,2,27.6,4.2,Treasury,Senior,Bachelors,Female,Married,0
274,43,26,9505,3,0,55,15,4,11.4,8.0,Risk,Junior,Bachelors,Non-binary,Single,0
275,43,20,11352,2,16,70,7,2,15.5,6.9,Operations,Senior,PhD,Non-binary,Single,0
276,51,21,12345,4,5,31,10,1,14.0,3.1,Treasury,Mid,Masters,Female,Single,0
277,59,5,6920,1,4,48,10,3,26.5,2.3,Investment Banking,Lead,Masters,Female,Divorced,1
278,59,14,4021,3,5,12,13,2,20.7,6.7,Investment Banking,Senior,Other,Female,Single,0
